"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"471","OSWALGREEN","Oswal greentech limited","EQ","5.0000","1","ES","E","NSE","31.5000","21.0000","","","3809507"
"539195","POEL","Pocl Enterprises","X","5.0000","1","ES","E","BSE","218.1000","145.4000","","","-1"
"532092","SAGARPROD","Sagar Productions","XT","1.0000","1","ES","E","BSE","3.5900","3.2500","","","-1"
"540797","SHALBY","Shalby","B","5.0000","1","ES","E","BSE","280.3500","186.9500","","","-1"
"500060","BIRLACABLE","Birla Cable","B","5.0000","1","ES","E","BSE","323.9000","293.1000","","","-1"
"531847","ASTAR","Asian Star","B","5.0000","1","ES","E","BSE","968.4000","645.6000","","","-1"
"533078","MANJEERA","Manjeera Constructions Lt","XT","1.0000","1","ES","E","BSE","31.5000","28.5000","","","-1"
"4907","ENGINERSIN","Engineers India","EQ","5.0000","1","ES","E","NSE","172.2000","114.8000","","","696370"
"532875","ADSL","Allied Digital Services L","B","5.0000","1","ES","E","BSE","159.5000","106.4000","","","-1"
"8426","RSSOFTWARE","R. S. SOFTWARE (INDIA) LI","BE","5.0000","1","ES","E","NSE","49.4500","47.5500","","","840661"
"522108","YUKEN","Yuken India","B","5.0000","1","ES","E","BSE","858.5000","572.4000","","","-1"
"500490","BAJAJHLDNG","Bajaj Holdings and Investments","A","5.0000","1","ES","E","BSE","8738.9000","5826.0000","","","-1"
"506074","ARSHIYA","Arshiya","T","1.0000","1","ES","E","BSE","4.7300","4.5500","","","-1"
"15146","JYOTHYLAB","Jyothy Labs","EQ","5.0000","1","ES","E","NSE","417.9500","278.6500","","","286789"
"517530","SURANAT&P","Surana Telecom And Power","B","1.0000","1","ES","E","BSE","13.1100","8.7500","","","-1"
"15419","DPSCLTD","Dpsc","EQ","5.0000","1","ES","E","NSE","19.6500","13.1500","","","6096896"
"511473","INDBANK","Indbank Merchant Banking","T","1.0000","1","ES","E","BSE","39.0600","35.3400","","","-1"
"11624","TIL","TIL LTD","BZ","5.0000","1","ES","E","NSE","304.2500","275.3500","","","327989"
"9848","SUNDRMBRAK","SUNDARAMBRAKE LININGS LTD","BE","5.0000","1","ES","E","NSE","526.8500","476.7500","","","128660"
"533333","FCL","Fineotex Chemical","A","5.0000","1","ES","E","BSE","379.2500","252.8500","","","-1"
"531215","RTSPOWR","Rts Power Corporation","X","5.0000","1","ES","E","BSE","236.4000","157.6000","","","-1"
"781","DALMIASUG","Dalmia Bharat","EQ","5.0000","1","ES","E","NSE","550.6500","367.1500","","","217888"
"500179","HCL-INSYS","HCL Infosystems","T","1.0000","1","ES","E","BSE","17.9000","16.2000","","","-1"
"523630","NFL","National Fertilizers","A","1.0000","1","ES","E","BSE","88.2800","58.8600","","","-1"
"1448","HLVLTD","HLV","EQ","5.0000","1","ES","E","NSE","21.3000","17.5000","","","5154093"
"11778","GOKEX","Gokaldas Exports","EQ","5.0000","1","ES","E","NSE","834.8000","683.0500","","","131713"
"513517","STEELCAS","Steelcast","B","5.0000","1","ES","E","BSE","856.2500","570.8500","","","-1"
"504341","RELTD","Ravindra Energy","X","1.0000","1","ES","E","BSE","66.7200","44.4800","","","-1"
"534675","PROZONER","Prozone realty","B","1.0000","1","ES","E","BSE","34.6200","23.0800","","","-1"
"522275","GET&D","Ge T&D India","B","5.0000","1","ES","E","BSE","409.3000","370.4000","","","-1"
"532321","ZYDUSLIFE","Zydus life","A","5.0000","1","ES","E","BSE","662.4500","542.0500","","","-1"
"532915","RELIGARE","Religare Enterprises","A","5.0000","1","ES","E","BSE","303.7500","202.5500","","","-1"
"29423","MOHITIND","Mohit Industries","EQ","5.0000","1","ES","E","NSE","17.6000","11.8000","","","462952"
"13745","GTLINFRA","GTL INFRA.LTD","EQ","5.0000","1","ES","E","NSE","1.1500","1.0500","","","90902491"
"7048","HESTERBIO","Hester Biosciences","EQ","5.0000","1","ES","E","NSE","1999.2500","1332.8500","","","60015"
"530735","SUPERBAK","Super Bakers","X","1.0000","1","ES","E","BSE","26.8400","24.3000","","","-1"
"506146","VIVIDHA","Visagar Polytex","B","1.0000","1","ES","E","BSE","1.2000","0.8000","","","-1"
"504340","CONFINT","Confidence Finance And Trading","XT","1.0000","1","ES","E","BSE","7.9300","7.6300","","","-1"
"513548","SHRDAIS","Sharda Ispat","XT","5.0000","1","ES","E","BSE","151.4500","145.5500","","","-1"
"502281","TRIVENIGQ","Triveni Glass","XT","1.0000","1","ES","E","BSE","19.4600","17.6200","","","-1"
"509480","BERGEPAINT","Berger Paints","A","5.0000","1","ES","E","BSE","672.8000","550.5000","","","-1"
"539546","BNL","Beekay Niryat","X","1.0000","1","ES","E","BSE","77.0100","51.3500","","","-1"
"516078","JUMBO","Jumbo Bag","XT","1.0000","1","ES","E","BSE","28.5600","25.8400","","","-1"
"530007","JKTYRE","JK Tyre & Industries","A","5.0000","1","ES","E","BSE","338.7000","225.8000","","","-1"
"500038","BALRAMCHIN","Balrampur Chini Mills","A","5.0000","1","ES","E","BSE","484.3500","396.3500","","","-1"
"526576","TECHIN","Techin","T","1.0000","1","ES","E","BSE","11.9000","11.4400","","","-1"
"530355","ASIANENE","Asian Energy Services","B","5.0000","1","ES","E","BSE","169.3000","153.2000","","","-1"
"540777","HDFCLIFE","HDFC Life","A","5.0000","1","ES","E","BSE","706.0000","577.7000","","","-1"
"539562","AARNAV","Aarnav Fashions","X","1.0000","1","ES","E","BSE","37.2700","24.8500","","","-1"
"533101","SURYAAMBA","Suryaamba Spinning Mills","X","5.0000","1","ES","E","BSE","183.7500","166.2500","","","-1"
"533164","TEXMOPIPES","Texmo Pipes & Products Lt","T","1.0000","1","ES","E","BSE","71.7300","64.9100","","","-1"
"13188","RCOM","Reliance Communications","BE","5.0000","1","ES","E","NSE","1.8500","1.7500","","","55554027"
"517166","SPELS","Spel Semiconductor","XT","1.0000","1","ES","E","BSE","59.0400","53.4200","","","-1"
"504380","FLOMIC","Flomic Global Logistics","X","1.0000","1","ES","E","BSE","108.2200","72.1600","","","-1"
"530855","GDLLEAS","GDL LEASING & FINANCE LTD","XT","1.0000","1","ES","E","BSE","8.7400","7.9200","","","-1"
"13081","TRIVENI","Triveni Engineering","EQ","5.0000","1","ES","E","NSE","467.7500","311.8500","","","256329"
"10440","LUPIN","Lupin","EQ","5.0000","1","ES","E","NSE","1221.6000","999.5000","","","89647"
"507852","ADDIND","Addi Ind.","X","1.0000","1","ES","E","BSE","48.2500","32.1700","","","-1"
"519287","MODAIRY","Modern Dairies","X","1.0000","1","ES","E","BSE","24.0600","16.0400","","","-1"
"514264","SEASONST","Seasons Textiles","X","1.0000","1","ES","E","BSE","14.1800","12.8400","","","-1"
"519367","TRANSFD","Transglobe Foods","XT","1.0000","1","ES","E","BSE","82.3900","79.1700","","","-1"
"500174","GLFL","Gujarat Lease Financing","B","1.0000","1","ES","E","BSE","3.6300","3.2900","","","-1"
"521178","SRMCL","Sri Ramakrishna Mills (Co","XT","1.0000","1","ES","E","BSE","28.6400","25.9200","","","-1"
"511066","SAKTHIFIN","Sakthi Finance","X","1.0000","1","ES","E","BSE","38.0800","31.1600","","","-1"
"533014","SICAGEN","Sicagen India","XT","1.0000","1","ES","E","BSE","43.5000","39.3600","","","-1"
"540980","YSL","The Yamuna Syndicate","X","5.0000","1","ES","E","BSE","19110.0000","17290.0000","","","-1"
"5481","JYOTISTRUC","JYOTI STRUCTURES","BE","5.0000","1","ES","E","NSE","13.9500","13.4500","","","7298972"
"504378","NYSSACORP","Nyssa Corporation","X","1.0000","1","ES","E","BSE","6.2900","5.1500","","","-1"
"539118","VRLLOG","VRL Logistics","A","5.0000","1","ES","E","BSE","838.4000","559.0000","","","-1"
"502157","MANGLMCEM","Mangalam Cement","B","5.0000","1","ES","E","BSE","442.6000","295.1000","","","-1"
"10457","ARVSMART","Arvind Smartspaces","EQ","5.0000","1","ES","E","NSE","423.1500","282.1500","","","283562"
"15239","BIRLAMONEY","Aditya Birla Money","EQ","5.0000","1","ES","E","NSE","92.1000","61.4000","","","1302876"
"827","DEEPAKFERT","Deepak Fertilizers & Petr","EQ","5.0000","1","ES","E","NSE","741.1000","494.1000","","","161836"
"13575","MANUGRAPH","MANUGRAPH INDIA LIMITED","BE","5.0000","1","ES","E","NSE","24.0500","21.8000","","","994572"
"512047","ROYALIND","Royal India Corporation L","XT","1.0000","1","ES","E","BSE","3.0200","2.9200","","","-1"
